country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,981607427.2,1139434504,1351923641,1515909823,1575961101,1701452874,1801538337,1933189215,2091786180,2145066958,2170502948,2323455517,2369738480,2399076773,2581804608,2505092558,2423084673,2470953857,2666444969,2698824913,2727178946,2776274327,2773756031,2481963897,2390502793,2472880828,2439005749,2541400876,2562957745,2551409423,2546020205,2579895285,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465114629,8124454292,8239343661,9164598459,9655582954,10990594707,11421973771,13865194315,15856574731,15924179998,17954877147,18960483970,19477070578,19759744157,20206376461,20744935406,20958745169
AGO,,,,,,,,,,,,,,,,,,,,,26521449164,25354505078,25354505078,26419394653,28004558904,28984718323,29825275659,31042966694,32945556124,32959268546,31822141255,32137613013,30261328944,23003628100,23311730284,26808489833,30439530822,32653786719,34185623676,34931379542,35998401927,37512494192,42638834055,43913671239,48723474948,56046084738,62518109037,71276907518,79235785609,79916193296,83799496611,86708999524,94115810017,98778862978,1.03543E+11,1.0452E+11,1.01823E+11,1.01673E+11,99503815532
ALB,,,,,,,,,,,,,,,,,,,,,5323413429,5629277350,5795262042,5859296110,5785961356,5888988727,6220965343,6171953924,6084309731,6682795837,6042875355,4350740838,4038048268,4424061926,4791385886,5429710284,5923813890,5276934356,5742892288,6483145173,6933726106,7508536855,7849421473,8283498466,8739919124,9223229206,9767407472,10351496685,11127855785,11500638275,11926953214,12230542524,12403913643,12528199360,12749948526,13034272401,13470920486,13987748469,14547875720
AND,,,,,,,,,,,1022930411,1070491206,1157733494,1247903187,1318020243,1325166624,1368947307,1407805911,1428402114,1428995717,1460558340,1458623473,1476804647,1502945837,1529768711,1565281267,1616204904,1705857764,1792759723,1879296849,1950360347,2000016577,2018600970,1997779424,2045390258,2101791877,2199519738,2398964978,2475606878,2577084005,2668012840,2789321202,2969818587,3331207492,3585973903,3851227773,4025933064,4027543883,3681577711,3545703434,3355695364,3199771534,3148088243,3159158338,3231113955,3258326510,3319880351,3377115827,3432140710
ARB,,,,,,,,,,,,,,,,5.70027E+11,6.60207E+11,7.14591E+11,7.09858E+11,7.91729E+11,8.6409E+11,8.89303E+11,8.08619E+11,7.53326E+11,7.63646E+11,7.46145E+11,7.81255E+11,7.77396E+11,8.20982E+11,8.4043E+11,9.50618E+11,9.65082E+11,1.01323E+12,1.0463E+12,1.07983E+12,1.10951E+12,1.1605E+12,1.2099E+12,1.27363E+12,1.2965E+12,1.36756E+12,1.38962E+12,1.39777E+12,1.47213E+12,1.60968E+12,1.70169E+12,1.81224E+12,1.89509E+12,2.00537E+12,2.01395E+12,2.11006E+12,2.18664E+12,2.3322E+12,2.40604E+12,2.46511E+12,2.54665E+12,2.62934E+12,2.65563E+12,2.71132E+12
ARE,,,,,,,,,,,,,,,,56806673982,66195031477,80386802832,79108971545,95661395017,1.185E+11,1.24021E+11,1.15688E+11,1.10198E+11,1.14624E+11,1.10504E+11,93974812607,97153023581,94608675562,1.06281E+11,1.25761E+11,1.26842E+11,1.31085E+11,1.32738E+11,1.41892E+11,1.51382E+11,1.60159E+11,1.73277E+11,1.73783E+11,1.78827E+11,1.98234E+11,2.01008E+11,2.05899E+11,2.24019E+11,2.4545E+11,2.57367E+11,2.82685E+11,2.91687E+11,3.00997E+11,2.85216E+11,2.89787E+11,3.0987E+11,3.23767E+11,3.40128E+11,3.55089E+11,3.73073E+11,3.84222E+11,3.87259E+11,3.92773E+11
ARG,1.15574E+11,1.21847E+11,1.20809E+11,1.14396E+11,1.25985E+11,1.39301E+11,1.38382E+11,1.42799E+11,1.49685E+11,1.64174E+11,1.69174E+11,1.78746E+11,1.81657E+11,1.86765E+11,1.971E+11,1.97044E+11,1.93067E+11,2.06455E+11,1.97152E+11,2.17306E+11,2.20606E+11,2.09157E+11,2.07619E+11,2.16648E+11,2.20051E+11,2.08633E+11,2.21471E+11,2.27461E+11,2.24982E+11,2.0888E+11,2.03727E+11,2.22333E+11,2.3998E+11,2.59676E+11,2.74831E+11,2.67011E+11,2.81768E+11,3.04622E+11,3.16351E+11,3.05641E+11,3.0323E+11,2.89861E+11,2.58282E+11,2.81106E+11,3.06489E+11,3.33618E+11,3.60465E+11,3.92935E+11,4.08877E+11,3.84677E+11,4.23627E+11,4.49062E+11,4.44453E+11,4.55143E+11,4.43707E+11,4.55825E+11,4.46343E+11,4.58254E+11,4.46731E+11
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857590,5613988348,3267341064,2979815090,3140725188,3357435176,3554362204,3672405406,3940491000,4070527203,4310688308,4722645336,5345387543,6095922453,6734033975,7667755681,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11123101341,11479040584,11501998665,12364648565,13007610291
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623365638.8,628440528.6,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,537092511,542167400.9,548933920.7,534555066.1,505797356.8,
