years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	2 742	340 881	53 563	40 783	-70 077	-1 608	-42 956	-2 996
1992	3 396	363 387	52 225	49 013	-65 824	-1 955	-40 817	-4 994
1993	5 372	403 604	48 862	54 368	-48 389	-1 748	-43 126	-3 230
1994	5 550	419 306	51 382	60 819	-46 234	-2 062	-39 810	-3 709
1995	5 421	419 075	41 816	65 790	-57 033	-2 274	-39 156	-3 534
1996	4 853	443 731	53 884	68 088	-58 492	-4 987	-40 626	-3 517
1997	6 346	481 297	52 865	69 482	-54 430	-7 399	-42 005	-3 601
1998	7 555	502 063	57 808	73 148	-51 921	-8 528	-37 589	-3 646
1999	7 475	504 487	61 983	83 084	-37 598	-8 772	-37 295	-3 744
2000	10 014	524 256	75 822	87 781	-38 315	-6 151	-44 382	-5 574
2001	14 067	541 010	81 471	92 318	-29 543	-3 335	-44 646	-8 553
2002	12 794	528 862	77 043	93 062	-24 216	-3 592	-45 057	-11 804
2003	16 829	560 055	85 037	91 651	-25 844	-3 466	-47 732	-15 553
2004	20 661	593 893	99 127	99 098	-28 029	-3 823	-48 946	-19 556
2005	19 598	599 496	117 922	100 874	-29 460	-4 911	-53 108	-16 694
2006	23 188	604 718	112 647	97 232	-29 491	-5 605	-59 619	-16 581
2007	22 208	598 284	108 061	107 228	-34 691	-5 830	-65 724	-18 872
2008	21 096	589 017	92 452	92 333	-48 222	-6500	-85 296	-22 097
2009	12 757	536 184	81 571	87 034	-34 866	-8 423	-91 650	-24 634
2010	11 440	539 779	83 347	86 917	-48240	-9 302	-105 623	-26 153
2011	8 232	522 908	74 897	80 618	-63 380	-9 001	-128 707	-34 621
2012	5 818	480 686	70 027	72 715	-74 210	-10 946	-134 751	-37 093
2013	5 056	430 693	69 932	66 733	-68 079	-20 178	-139 018	-36 056
2014	6 362	405 381	67 037	62 272	-57 196	-35 549	-159 283	-34 682
2015	6 048	408 367	74 743	62 896	-43 965	-45 283	-171 598	-40 700
2016	5 206	437 181	74 739	69 549	-36 207	-50 836	-187 331	-52 677
2017	4 076	442 925	73 462	70 405	-57 552	-78 868	-209 447	-74 435
