years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991		10 954	2 771		-78 214	-7 652	-3 590	-3 977
1992		13 498	2 226		-82 012	-8 507	-3 307	-5 060
1993		17 113	2 867		-85 625	-9 411	-3 230	-5 946
1994		17 445	2 945		-85 120	-8 835	-2 962	-6 895
1995		17 597	3 251		-88 594	-10 372	-2 857	-8 256
1996		20 321	3 280		-91 324	-10 066	-3 505	-8 849
1997		20 601	3 816		-101 540	-11 926	-4 346	-8 626
1998		20 836	3 000		-108 067	-14 211	-4 214	-8 946
1999		24 508	3 649		-111 701	-13 612	-3 555	-9 144
2000		22 314	4 068		-121 426	-19 365	-3 463	-9 265
2001		23 185	4 231		-125 009	-23 534	-3 854	-8 806
2002		24 055	4 091		-132 536	-21 397	-4 883	-8 887
2003		23 208	4 880		-135 540	-17 597	-4 582	-9 152
2004		19 307	8 995		-142 302	-14 704	-3 861	-9 254
2005		21 377	9 719		-150 990	-13 190	-3 296	-12 383
2006		20 026	11 957		-150 780	-10 931	-3 507	-14 067
2007		20 766	10 985		-158 859	-13 403	-3 207	-16 760
2008		21 480	14 388		-163 964	-13 428	-3 125	-15 995
2009		19 880	15 598		-169 048	-13 914	-2 544	-18 020
2010		22 096	15 942		-190 391	-15 150	-2 438	-20 892
2011		25 965	14 866		-184 398	-16 485	-2 200	-23 337
2012		24 095	18 196		-195 161	-14 636	-2 336	-22 062
2013		24 486	20 102		-217 375	-13 229	-2 291	-27 524
2014		23 140	20 746		-242 832	-12 447	-2 086	-27 223
2015		20 224	23 102		-253 999	-12 727	-1 902	-29 363
2016		16 294	27 401		-251 899	-11 668	-1 778	-43 394
2017		16 656	28 627		-244 692	-10 751	-2 285	-61 431
