years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	3 340	8 311	2 281	4 398	-5		-493	
1992	3 187	8 609	1 984	4 391	-15		-516	
1993	2 682	8 306	2 399	4 626	-5		-794	
1994	2 576	8 860	2 435	4 286		-74	-1 020	-5
1995	2 633	8 328	2 840	5 472	-2	-48	-882	-14
1996	3 086	8 797	3 774	5 651	-12	-114	-1 114	
1997	3 178	9 364	3 191	5 181	-15	-39	-1 333	
1998	3 046	9 290	4 603	5 350	-7	-51	-1 572	-17
1999	2 791	8 566	4 417	5 242	-45	-66	-1 575	
2000	3 065	8 071	4 352	5 321	-44	-137	-1 322	-15
2001	3 366	8 640	4 710	5 388	-33	-105	-1 553	-351
2002	3 519	8 846	5 166	5 608	-24	-6	-1 482	-589
2003	3 549	8 312	6 385	6 992	-44	-25	-1 415	-976
2004	3 972	7 903	7 188	7 302	-53	-5	-1 615	-1 165
2005	4 047	8 221	7 233	8 036	-15	-8	-2 157	-884
2006	3 800	8 325	7 129	8 807	-33		-1 706	-2 131
2007	3 972	8 069	6 734	8 160	-17	-16	-2 099	-2 263
2008	3 834	8 331	6 544	8 355	-3	-18	-2 398	-1 681
2009	2 770	7 719	6 041	8 768	-10	-2	-2 183	-2 364
2010	3 381	7 118	6 817	10 190	-5	-2	-2 159	-4 075
2011	3 126	7 669	5 877	10 984	-2	-13	-2 213	-2 986
2012	3 340	7 811	5 703	11 506	-2	-2	-2 438	-5 236
2013	3 134	7 979	5 888	8 504	-1		-2 514	-3 252
2014	3 066	7 881	5 678	8 368	-2		-2 654	-1 980
2015	2 816	8 295	5 768	9 768	-49		-2 770	-4 780
2016	2 885	7 648	6 342	11 858	-35		-2 692	-5 752
2017	3 111	7 626	6 457	11 538	-36	-12	-2 678	-4 525
