years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	10 356	32 602	11 943	8 661	-1 162	-2 277	-17 541	
1992	9 986	32 701	12 823	9 138	-989	-2 834	-17 396	
1993	8 479	31 012	12 721	9 468	-991	-2 625	-16 569	
1994	9 408	31 818	14 767	9 777	-1 116	-2 935	-16 439	
1995	10 365	29 155	15 704	10 418	-929	-2 556	-15 610	
1996	9 102	34 756	15 015	11 879	-1 017	-2 748	-17 865	
1997	8 879	36 047	14 137	11 280	-1 203	-2 859	-17 700	
1998	9 090	37 293	14 742	12 432	-970	-2 562	-18 511	
1999	7 846	35 444	14 993	13 478	-902	-3 089	-19 140	
2000	8 428	37 610	15 302	13 278	-1 112	-3 471	-19 878	
2001	9 259	35 579	16 112	13 134	-1 333	-2 266	-19 606	
2002	6 905	36 498	15 870	13 653	-1 371	-2 725	-20 216	
2003	6 532	39 197	16 687	14 243	-663	-3 004	-20 480	
2004	6 822	38 133	19 544	14 559	-863	-3 048	-22 326	
2005	6 011	35 593	22 847	14 817	-768	-3 235	-22 673	
2006	5 543	35 232	21 204	15 030	-790	-2 773	-21 644	
2007	5 237	36 626	19 601	14 900	-978	-3 478	-21 603	
2008	5 673	36 653	22 388	15 491	-822	-3 168	-21 329	-593
2009	3 419	33 501	20 733	17 990	-826	-3 498	-20 433	-3 028
2010	4 386	35 243	21 512	19 545	-692	-4 014	-20 213	-2 754
2011	4 233	32 102	22 101	17 850	-698	-3 240	-21 215	-3 376
2012	3 873	33 530	21 033	15 258	-823	-3 214	-23 804	-1 079
2013	3 888	30 828	26 060	15 350	-637	-2 721	-24 817	-790
2014	3 871	36 126	22 691	13 582	-484	-3 401	-26 422	-735
2015	3 314	35 679	24 166	15 322	-60	-3 646	-25 842	-1 442
2016	3 048	33 901	24 907	14 959	-52	-2 676	-26 972	-579
2017	3 011	35 753	27 706	14 898	-71	-2 421	-31 647	-645
