years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	8 701	27 110	4 260				-3 132	
1992	8 377	27 321	5 454		-4		-3 738	
1993	8 881	26 201	13 240				-5 599	
1994	9 318	28 488	10 605			-5 087		
1995	9 805	25 983	11 296			-694	-2 147	
1996	10 403	29 407	13 021			-107	-1 974	
1997	10 332	29 762	13 857			-132	-2 163	
1998	10 266	28 504	14 262				-4 367	
1999	9 710	24 169	13 943	343		-31	-3 833	
2000	10 329	20 537	13 968	1 893		-963	-5 065	
2001	10 177	21 570	14 463	3 946		-5 719	-7 329	
2002	10 437	19 721	13 271	4 598		-12 132	-7 870	
2003	11 123	17 726	10 449	4 329		-12 507	-8 734	
2004	11 072	23 216	9 793	6 924		-11 887	-9 708	
2005	10 608	17 673	10 361	7 705	-1	-14 136	-9 160	
2006	10 224	17 265	11 909	8 383	-4	-18 987	-9 693	
2007	11 304	21 515	13 760	8 849	-6	-21 812	-9 816	
2008	11 813	19 689	15 649	9 718	-8	-22 372	-8 181	
2009	9 076	19 347	13 358	7 316		-27 118	-7 852	
2010	12 110	17 496	21 827	10 830		-32 614	-6 537	
2011	13 684	17 139	24 205	8 975	-40	-31 221	-6 548	
2012	12 252	17 815	24 284	11 290		-27 546	-6 291	
2013	13 351	20 372	23 464	14 525		-20 511	-7 052	
2014	14 671	18 112	24 822	16 544		-26 844	-6 686	
2015	14 847	15 402	21 502	15 763		-38 113	-5 981	
2016	13 672	8 013	22 555	10 043		-43 835	-5 618	
2017	15 094	7 495	28 252	9 180		-53 910	-5 893	
