years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	8 469	27 530	7 635	259	-23 493	-43 025	-13 373	-38 780
1992	8 759	26 015	7 681	1 351	-19 432	-47 181	-11 739	-47 144
1993	5 864	29 991	7 075	664	-19 650	-51 468	-12 476	-51 489
1994	6 460	31 697	6 326	861	-22 028	-55 409	-11 668	-59 170
1995	6 942	30 484	6 647	552	-23 589	-60 518	-12 332	-64 726
1996	8 385	35 121	6 698	997	-23 942	-64 446	-14 443	-65 616
1997	9 708	39 416	8 033	1 040	-25 324	-69 282	-15 260	-67 026
1998	12 481	40 021	8 385	650	-20 516	-76 443	-14 326	-73 159
1999	12 892	42 451	7 819	659	-20 109	-71 604	-14 755	-77 966
2000	15 048	46 942	7 362	1 329	-19 269	-78 447	-14 895	-82 681
2001	15 539	46 685	9 990	3 202  	-17 685	-76 659	-19 258	-88 573
2002	13 190	44 737	8 690	5 407	-16 068	-81 679	-20 706	-88 206
2003	12 949	45 771	11 281	7 949	-17 203	-85 095	-21 140	-83 324
2004	11 072	47 169	12 305	8 920	-15 483	-89 128	-22 016	-86 458
2005	12 813	49 109	15 699	7 833	-17 039	-86 854	-21 820	-87 402
2006	12 373	45 463	14 586	7 939	-16 571	-95 965	-20 828	-83 973
2007	10 792	45 810	12 964	10 378	-18 533	-98 700	-21 687	-88 760
2008	12 258	45 611	16 188	12 881	-19 313	-100 584	-21 862	-85 044
2009	7 657	44 932	13 247	17 066	-17 397	-100 343	-20 715	-78 678
2010	7 945	42 350	12 940	18 730	-20 157	-103 907	-20 463	-79 151
2011	6 191	39 948	15 389	25 967	-20 479	-117 726	-19 065	-76 858
2012	6 503	45 858	12 153	26 077	-21 067	-128 106	-23 027	-73 524
2013	5 364	44 493	11 973	22 297	-23 370	-139 703	-24 879	-68 856
2014	5 394	44 870	11 284	18 353	-20 501	-151 545	-22 626	-65 367
2015	5 294	51 574	11 958	16 555	-18 205	-161 959	-22 685	-66 007
2016	4 561	52 174	13 305	17 013	-18 088	-170 759	-21 446	-68 767
2017	5 196	45 606	11 508	20 081	-18 498	-180 618	-24 131	-71 045
