years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	990	5 664	690				-88	
1992	584	6 207	946				-62	
1993	735	6 444	935				-3	
1994	1 301	7 288	1 465				-22	-71
1995	1 501	7 800	1 648		-13		-42	-57
1996	2 442	8 201	2 478		-8		-46	-29
1997	3 113	8 827	2 361	591	-11		-136	-39
1998	3 120	9 721	2 022	1 684	-14		-147	-12
1999	3 411	9 581	1 938	3 185			-283	
2000	2 943	9 975	1 941	3 672	-27		-862	
2001	1 906	10 107	1 511	4 390			-1 278	
2002	2 045	9 872	2 212	4 400	-90		-929	
2003	2 120	10 544	2 163	5 120	-45		-1 640	
2004	2 608	10 733	2 980	5 718	-26		-1 459	
2005	2 442	10 539	3 788	5 275	-27		-1 721	
2006	3 007	11 450	4 042	4 824	-6		-1 998	
2007	3 916	11 127	7 564	2 338	-30		-1 215	
2008	4 160	10 396	8 032	655	-9		-1 287	
2009	3 335	10 221	6 944	1 225			-1 122	
2010	3 809	8 659	7 340	3 007			-627	
2011	5 454	9 269	7 310	3 327			-632	
2012	5 949	8 850	7 730	3 293			-874	
2013	6 178	9 647	7 694	3 268	-505		-942	
2014	5 644	9 089	7 294	2 915	-994		-566	
2015	5 677	8 698	7 559	3 133	-365		-488	
2016	6 637	8 607	8 456	3 656	-449		-444	-303
2017	6 688	8 911	8 190	3 505	-406		-500	-177
