years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	6 679	5 973	13 678		-13 694	-22 598	-8 818	
1992	7 175	11 360	18 930		-16 062	-21 510	-8 741	
1993	8 006	15 671	30 931		-14 599	-19 435	-9 422	
1994	5 816	12 346	29 012		-18 417	-18 491	-9 816	
1995	6 432	17 090	34 902	26	-24 492	-18 227	-13 200	-22
1996	5 981	22 617	38 530	1 679	-28 961	-20 403	-14 437	-1 374
1997	4 842	35 470	47 778	2 621	-30 163	-19 829	-16 151	-2 146
1998	5 438	27 320	46 566	2 459	-28 242	-15 600	-13 774	-2 013
1999	5 033	36 614	44 420	2 712	-30 887	-7 167	-12 286	-2 220
2000	5 233	70 265	39 456	2 452	-45 589	-10 306	-11 873	-2 007
2001	6 699	60 260	42 133	2 474	-67 413	-7 550	-12 719	-2 025
2002	11 434	69 406	44 753	2 351	-63 161	-7 665	-13 495	-2 680
2003	13 255	91 020	53 283	1 512	-70 515	-8 133	-16 688	-1 567
2004	17 959	122 720	64 416	2 184	-66 072	-5 492	-14 735	-2 042
2005	21 586	126 817	57 367	2 189	-55 262	-8 067	-19 018	-2 485
2006	27 653	145 175	61 863	3 196	-51 000	-6 337	-17 031	-2 425
2007	35 642	163 160	60 430	5 607	-45 144	-3 884	-19 009	-2 176
2008	30 801	178 885	62 315	6 448	-38 046	-4 238	-21 106	-2 716
2009	79 919	203 653	67 407	8 909	-15 232	-5 073	-29 028	-2 686
2010	105 156	237 682	70 611	15 722	-14 534	-3 030	-31 155	-3 373
2011	125 166	253 779	73 390	27 002	-11 567	-2 514	-31 157	-2 668
2012	159 522	271 027	70 091	35 616	-6 636	-2 432	-29 251	-2 419
2013	182 098	281 742	70 983	43 832	-7 824	-1 617	-33 637	-2 297
2014	162 974	308 374	63 320	49 027	-9 136	-600	-35 062	-2 183
2015	115 644	335 483	73 962	51 307	-9 602	-2 866	-42 057	-2 716
2016	156 117	381 007	76 525	61 790	-12 144	-2 941	-54 013	-2 828
2017	158 350	419 462	84 745	76 978	-10 411	-4 861	-57 653	-2 957
