years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	7 830	5 620	3 825		-52	-4 372	-3 201	-1 252
1992	7 401	5 672	3 928		-22	-4 626	-3 902	-1 372
1993	6 353	5 474	4 644		-16	-5 281	-4 140	-1 443
1994	6 953	5 712	5 565		-36	-6 088	-4 273	-1 501
1995	7 678	6 281	4 074		-16	-4 925	-4 265	-1 496
1996	7 800	6 598	4 148		-93	-5 387	-4 724	-1 706
1997	8 091	5 500	4 934		-63	-7 261	-4 263	-2 791
1998	4 872	5 702	5 392		-102	-8 547	-3 217	-2 518
1999	4 304	5 688	4 639		-120	-11 323	-4 059	-2 568
2000	3 857	4 901	5 008		-73	-13 776	-4 620	-2 882
2001	4 160	4 104	4 966		-99	-12 274	-3 930	-3 054
2002	3 802	3 991	4 500		-101	-14 098	-3 814	-2 984
2003	5 657	3 654	4 779		-90	-13 765	-3 994	-2 594
2004	4 516	3 960	4 844		-94	-15 456	-4 054	-3 691
2005	3 561	2 859	5 903		-56	-14 122	-4 074	-5 010
2006	5 192	2 790	5 566		-65	-11 977	-4 538	-4 688
2007	4 779	2 109	5 972		-111	-9 771	-4 584	-4 049
2008	4 436	2 550	7 065		-91	-9 381	-4 762	-4 931
2009	3 961	3 611	5 241		-38	-9 081	-4 679	-3 579
2010	2 684	2 792	6 676	136	-41	-8 009	-5 240	-3 158
2011	3 589	3 102	6 376	752		-7 632	-5 713	-2 796
2012	2 317	4 465	5 581	822	-6	-6 959	-5 763	-2 673
2013	2 911	5 164	7 164	1 203	-30	-6 914	-6 578	-1 974
2014	2 689	4 078	7 789	559	-31	-5 758	-6 848	-1 873
2015	1 598	4 392	9 523	591	-53	-4 981	-8 546	-1 967
2016	1 682	3 938	9 159	612	-12	-4 397	-8 510	-1 897
2017	1 795	5 039	5 561	464		-4 673	-6 214	-2 007
