years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	3 745	9 916	3 308	2 307			-3 088	
1992	3 162	8 861	4 361	2 391	-39	-4	-3 832	
1993	4 035	8 364	4 221	2 483	-31		-3 447	
1994	5 534	9 992	5 354	2 745	-56		-3 756	
1995	3 857	8 607	3 818	2 839	-21	-2	-4 083	
1996	4 552	9 976	4 530	2 967	-12		-4 924	
1997	4 830	10 093	4 223	2 907	-14		-4 239	
1998	3 253	11 908	3 312	3 336	-17		-4 823	
1999	2 654	11 320	3 727	3 338	-13		-5 108	
2000	3 561	12 081	3 549	3 430	-42		-5 102	
2001	4 234	11 340	3 753	3 716	-43		-4 966	
2002	3 980	12 149	3 451	3 693	-39		-5 434	
2003	6 638	12 431	4 464	4 094	-30		-5 616	
2004	5 544	12 668	4 075	3 960	-39		-5 676	
2005	3 365	10 984	5 058	3 607	-48		-5 142	
2006	4 535	12 607	4 524	3 885	-34		-5 663	
2007	4 565	12 570	4 740	3 731	-48	-21	-6 373	
2008	3 870	12 177	5 638	3 862	-36	-40	-6 723	
2009	3 874	11 758	5 076	3 484	-37	-127	-6 622	
2010	3 993	11 447	4 840	3 837	-38	-9	-6 859	
2011	4 616	11 842	5 566	3 360	-39		-7 324	
2012	2 672	11 914	4 793	3 005	-53		-7 739	
2013	3 409	12 135	6 334	2 857	-55		-9 237	
2014	3 673	12 182	5 831	2 513	-54		-8 693	
2015	2 605	11 145	5 357	2 237	-92		-6 987	
2016	2 797	12 421	6 019	2 059	-70		-9 324	
2017	2 710	12 709	5 236	1 915	-103		-9 328	
