years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	14 607	78 069	27 264	26 176	-702	-487	-13 954	-453
1992	14 607	76 461	25 357	27 538	-617	-435	-14 441	-924
1993	9 863	78 702	23 882	25 809	-746	-1 328	-15 398	-500
1994	8 688	77 657	21 465	26 869	-655	-1 271	-16 682	-637
1995	9 427	78 632	21 985	28 109	-465	-446	-15 367	-616
1996	10 966	84 234	23 305	30 313	-450	-1 005	-17 551	-697
1997	9 993	88 231	19 370	30 512	-407	-1 252	-18 682	-1 162
1998	13 135	90 416	23 342	30 834	-362	-1 362	-19 962	-706
1999	12 502	82 111	27 092	35 462	-367	-1 316	-18 221	-655
2000	13 384	85 649	26 879	36 459	-540	-1 747	-20 943	-681
2001	11 474	86 329	27 824	35 751	-463		-19 902	-799
2002	12 771	80 018	32 382	37 495	-320		-19 326	-754
2003	11 965	87 323	30 765	38 436	-335	-37	-22 643	-901
2004	13 583	86 984	32 605	39 928	-632	-60	-24 014	-1 259
2005	13 975	86 005	37 346	41 624	-616	-45	-27 511	-903
2006	14 249	83 813	38 441	40 148	-558	-20	-27 899	-679
2007	13 115	82 973	36 144	37 909	-670	-12	-26 292	-778
2008	14 815	85 114	36 119	40 101	-781	-35	-31 036	-1 096
2009	10 673	73 360	38 972	40 720	-484	-69	-25 503	-1 927
2010	12 252	65 621	40 684	42 111	-175	-52	-23 056	-2 558
2011	11 416	66 453	41 373	44 025	-56	-504	-21 056	-5 805
2012	12 162	58 847	44 682	42 359	-48	-224	-19 769	-5 364
2013	12 452	57 920	43 673	42 516	-9	-131	-19 068	-4 512
2014	9 784	56 058	44 175	40 193	-37	-92	-19 230	-6 352
2015	9 194	59 482	43 654	39 382	-18	-97	-21 285	-4 865
2016	8 589	57 163	42 022	41 234	-56	-25	-20 842	-3 336
2017	10 087	58 995	41 712	43 156	-4	-99	-20 532	-5 422
