years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	11 779	90 615	48 831	44 361	-4 704		-8 657	-941
1992	12 295	101 145	46 889	45 481	-2 693	-212	-13 244	-1 119
1993	10 834	101 675	46 432	48 694	-1 733	-110	-14 775	-1 311
1994	12 573	108 493	41 857	51 074	-2 723	-1 145	-15 510	-1 448
1995	12 262	102 994	44 078	55 323	-2 012	-779	-14 303	-2 419
1996	13 706	105 780	46 963	62 768	-1 277	-1 815	-14 081	-2 792
1997	15 855	102 655	50 257	61 162	-933	-3 658	-12 615	-3 000
1998	18 009	111 675	45 637	59 333	-609	-1 418	-15 123	-3 289
1999	17 873	106 115	41 325	61 591	-460	-1 778	-16 725	-4 291
2000	22 221	105 861	43 002	61 085	-560	-3 285	-18 689	-4 220
2001	26 310	107 379	44 588	63 444	-475	-1 052	-18 557	-5 248
2002	25 109	107 099	36 969	65 858	-653	-1 350	-18 654	-5 787
2003	25 536	108 699	36 726	70 372	-544	-661	-18 872	-10 681
2004	28 350	113 011	34 679	75 781	-553	-1 137	-23 903	-11 976
2005	26 578	115 214	35 584	78 900	-625	-721	-26 431	-16 960
2006	33 392	112 438	37 589	77 979	-686	-562	-27 426	-12 991
2007	32 668	109 446	29 107	72 579	-784	-707	-28 238	-13 134
2008	31 709	108 035	35 166	76 064	-1 043	-138	-25 546	-12 611
2009	26 407	99 639	33 374	73 464	-876	-112	-22 333	-11 088
2010	32 587	94 687	36 008	78 802	-947	-717	-17 869	-17 157
2011	33 367	92 056	33 282	75 131	-963	-381	-17 954	-14 754
2012	33 285	94 990	32 645	74 088	-1 167	-197	-18 614	-14 262
2013	37 446	92 179	38 169	81 946	-1 177	-35	-20 053	-18 405
2014	37 196	90 798	37 576	75 341	-1 564	-30	-21 114	-18 668
2015	37 476	92 664	38 067	85 919	-1 404	-338	-22 131	-27 243
2016	39 665	92 632	39 411	81 613	-1 401	-103	-22 700	-19 328
2017	33 802	92 119	41 772	95 741	-1 501		-23 417	-26 900
