years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	933	13 988	5 602			-673	-4 373	
1992	1 401	16 138	5 336		-2	-490	-4 855	
1993	884	14 146	5 686			-734	-2 973	
1994	981	14 675	4 265			-436	-3 918	
1995	923	17 365	3 742			-638	-3 465	
1996	1 085	18 409	3 598	8	-29	-272	-4 361	
1997	803	18 402	3 317	129	-43	-211	-3 590	
1998	894	19 052	3 383	690	-46		-3 218	
1999	782	17 144	4 211	1 216	-51	-115	-3 642	
2000	810	20 218	3 186	1 689	-41		-4 083	
2001	888	19 917	3 360	1 670	-32		-3 896	
2002	646	20 436	4 156	1 755	-20	-384	-3 821	
2003	488	20 930	4 723	2 002	-67	-1 096	-4 843	
2004	501	21 443	5 792	2 174	-37	-806	-4 891	
2005	398	20 053	5 970	2 332	-27	-918	-4 994	
2006	239	22 232	6 013	2 721	-14	-1 054	-6 014	
2007	375	22 594	5 135	3 335	-10	-1 056	-6 418	
2008	415	21 377	6 770	3 506	-1	-1 063	-6 378	
2009	170	20 467	6 991	2 963	-1	-998	-7 843	
2010	401	21 068	5 545	3 231		-847	-8 745	
2011	237	18 222	6 393	3 973	-5	-699	-8 958	
2012	192	22 796	4 965	3 674	-7	-345	-12 169	
2013	233	23 111	3 570	3 235	-8	-150	-14 110	
2014	199	25 615	3 427	2 467	-6	-61	-15 588	
2015	159	26 665	4 265	2 674		-85	-16 253	
2016	190	28 127	4 183	3 462		-157	-18 201	
2017	229	28 891	4 131	4 225		-175	-19 058	
