years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	2 243	5 174	755	4 972			-1 139	-7
1992	1 430	5 584	1 171	4 113	-52		-1 376	
1993	1 602	5 901	1 811	4 769	-290		-1 756	
1994	1 783	5 409	2 185	4 517	-199		-2 158	
1995	1 656	5 747	1 686	5 532	-273		-2 130	
1996	1 661	5 134	1 555	7 265	-208	-15	-1 900	
1997	1 569	5 604	1 625	6 549	-196	-53	-1 850	
1998	1 248	6 024	1 705	7 081	-132		-1 856	-2
1999	1 182	5 666	1 523	7 320	-112	-2	-1 935	-4
2000	1 212	5 800	1 191	7 347	-131	-1	-1 780	-65
2001	1 092	5 625	1 401	7 786	-95		-2 300	-3
2002	945	5 102	2 159	8 705	-44	-11	-2 543	
2003	1 053	5 442	1 851	9 940	-51	-13	-2 471	
2004	1 206	5 699	2 116	9 278	-110	-151	-2 624	
2005	1 456	6 677	2 460	9 807	-152	-364	-2 781	
2006	1 554	7 112	2 317	9 421	-300	-827	-2 546	-4
2007	1 687	7 149	2 369	8 574	-311	-612	-2 675	-17
2008	1 678	6 877	2 388	9 326	-262	-493	-2 818	-19
2009	1 108	5 676	2 233	7 907	-161	-18	-2 277	-71
2010	1 411	5 988	2 571	7 913	-279	-17	-2 766	-186
2011	1 258	6 180	2 055	6 599	-278	-17	-2 862	-466
2012	1 177	5 755	2 000	6 745	-289	-21	-2 775	-691
2013	1 038	5 717	2 153	6 768	-436	-82	-2 809	-1 211
2014	1 064	6 455	2 482	7 436	-447	-38	-3 113	-618
2015	1 108	6 628	2 732	5 677	-313	-120	-2 667	-458
2016	1 084	6 276	2 951	7 225	-373	-111	-2 812	-893
2017	1 260	6 179	3 586	11 163	-274	-194	-2 987	-2 942
