years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	65		581					
1992	46		691					
1993	45		684					
1994	67		691					
1995	55		705					
1996	64		763					
1997	56		762					
1998	66		796					
1999	57		826					
2000	98		848					
2001	92		756					
2002	96		765					
2003	91		739					
2004	103		858					
2005	99		857					
2006	89		860					
2007	115		867					
2008	85		800					
2009	90		766				-12	
2010	87		683					
2011	89		707					
2012	7		699					
2013	98		714					
2014	87		751					
2015	93		848					
2016	99		943					
2017	99		977					
