years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	3 813	24 522	9 759		-47		-3 037	
1992	4 319	29 890	11 723		-54		-3 845	
1993	4 800	31 500	12 565		-42		-4 163	
1994	7 192	27 951	14 483		-340		-3 468	
1995	8 726	27 943	20 612		-309		-3 664	
1996	9 204	34 652	20 699		-219		-3 365	
1997	11 884	35 253	23 949		-248		-3 499	
1998	10 525	40 684	24 803		-369		-1 198	
1999	14 036	59 077	17 366		-543		-3 042	
2000	14 802	75 727	9 575		-582		-8 201	
2001	14 542	80 437	7 161		-845		-9 787	
2002	16 244	83 793	7 394		-611		-10 129	
2003	15 037	92 423	8 270	287	-784		-15 598	
2004	20 274	97 976	9 213	2 900	-661		-21 049	
2005	26 062	101 596	12 953	5 872	-869		-24 231	
2006	30 254	113 955	17 824	7 951	-650		-34 603	
2007	34 224	124 349	23 228	9 603	-682		-42 548	
2008	39 936	135 696	19 124	9 706	-1 540		-40 478	
2009	57 295	162 762	14 640	10 646	-1 045		-53 206	
2010	70 544	167 194	17 731	11 437	-1 211		-61 435	
2011	74 986	175 507	16 337	16 040	-1 203		-65 176	
2012	89 253	188 860	16 453	15 595	-1 942		-67 346	
2013	105 338	193 401	16 669	15 446	-975		-71 684	
2014	133 372	193 602	20 912	16 559	-565		-68 609	
2015	117 534	207 312	28 391	19 034	-723		-65 242	
2016	110 171	218 638	34 436	22 114	-758		-70 594	
2017	118 764	225 283	34 233	24 419	-635		-71 810	
