years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	26	6 314	3 197		-4 233	-44 822	-10 662	-28 698
1992	20	7 023	5 180		-9 004	-39 655	-12 525	-30 116
1993	36	8 187	6 509		-9 870	-38 298	-10 875	-30 813
1994	34	8 213	5 508		-11 822	-44 843	-11 478	-33 813
1995		9 782	8 999		-18 284	-40 526	-11 674	-31 804
1996		10 471	7 951		-21 241	-38 614	-12 532	-33 859
1997		9 516	12 788		-24 361	-39 171	-11 177	-34 291
1998		10 582	7 852		-27 793	-37 931	-9 381	-34 291
1999		13 156	10 923		-32 581	-38 591	-8 864	-37 118
2000	94	12 798	12 794		-33 540	-30 190	-8 613	-34 599
2001	20	17 531	12 140		-39 179	-32 779	-8 340	-31 405
2002	13	18 240	14 490		-42 966	-29 244	-7 382	-35 659
2003	26	19 481	15 553		-51 603	-26 525	-8 657	-36 972
2004	65	21 828	20 749		-62 263	-24 023	-7 589	-36 711
2005	66	18 228	22 469		-76 170	-21 396	-6 645	-36 307
2006	75	17 910	16 582		-108 651	-15 050	-4 984	-35 427
2007	46	17 911	20 440		-115 239	-18 001	-5 598	-34 504
2008	72	15 125	21 258		-116 789	-16 475	-5 395	-34 531
2009	46	20 317	18 554		-136 336	-15 939	-5 350	-32 705
2010	37	19 510	22 129		-154 511	-15 926	-5 251	-35 984
2011	28	19 386	24 693		-206 059	-17 564	-4 982	-35 433
2012	53	19 767	28 850		-219 280	-15 610	-4 147	-32 319
2013	434	23 357	29 781		-240 164	-15 884	-4 524	-30 232
2014	1 710	24 936	30 466		-230 185	-14 876	-5 121	-29 085
2015	2 026	25 191	26 703		-206 061	-15 544	-4 167	-27 623
2016	2 626	25 669	23 548		-208 167	-17 008	-3 891	-25 465
2017	3 053	26 309	28 280		-217 381	-13 932	-3 540	-23 757
