years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	2 056	1 778	3 853		-24		-717	
1992	2 005	2 049	3 552		-26		-794	-24
1993	1 896	1 933	4 011	4	-18		-766	
1994	1 566	2 375	4 211	2	-15		-1 018	
1995	1 896	2 305	4 460	85	-12		-998	
1996	1 802	2 217	4 796	483	-19		-847	
1997	1 960	2 976	5 158	865	-15		-1 355	
1998	1 859	3 220	5 584	1 396	-15		-1 339	
1999	1 539	2 913	6 617	1 894	-17		-1 144	
2000	1 697	3 056	6 449	2 478	-15	-15	-1 339	
2001	1 892	3 448	6 801	2 925	-14		-1 414	
2002	1 808	3 419	6 886	3 001	-18	-89	-1 458	
2003	1 678	3 332	6 744	3 133	-19	-87	-1 517	
2004	1 857	2 977	7 247	2 960	-19		-1 297	
2005	1 906	3 347	6 885	3 010	-19		-1 438	
2006	1 640	3 268	6 767	3 601	-15		-1 278	
2007	1 443	3 496	6 326	3 916	-11		-1 201	
2008	1 600	3 364	6 339	4 166			-1 209	
2009	1 297	2 752	6 081	4 013	-11		-937	
2010	964	3 113	5 998	4 480	-17	-94	-1 359	
2011	1 417	3 078	5 638	3 954	-17	-49	-1 552	
2012	1 339	3 005	5 277	3 838	-18	-18	-1 741	
2013	1 483	2 999	5 118	3 710	-19	-22	-1 193	
2014	1 215	2 762	5 078	3 592	-12	-11	-1 253	
2015	1 481	3 724	5 455	3 621	-18		-1 746	
2016	1 155	3 269	5 757	1 700	-14		-1 612	
2017	1 230	3 286	6 016	1 409	-15	-302	-1 851	
