years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	13 800	80 537	20 827	27 544	-121	-526	-18 647	-21
1992	12 206	84 366	22 589	28 308	-130	-2 457	-19 056	-24
1993	9 958	82 571	23 304	26 779	-117	-1 526	-21 593	-27
1994	10 931	81 683	22 362	24 230	-97	-975	-19 700	-27
1995	13 102	82 213	24 206	28 561	-91	-407	-16 796	-31
1996	11 533	81 645	25 656	30 468	-70	-310	-18 604	-35
1997	10 798	87 593	20 970	32 011	-91	-416	-20 771	-34
1998	11 660	91 510	20 801	34 927	-65	-408	-22 664	-38
1999	11 926	88 046	19 328	40 528	-87	-276	-20 245	-42
2000	13 228	90 337	19 395	47 049	-87	-521	-21 247	-41
2001	13 567	91 163	15 524	44 861	-57	-604	-22 088	-51
2002	13 205	89 855	17 624	48 560	-89	-396	-21 404	-43
2003	14 642	91 749	16 613	51 429	-114	-1 113	-23 017	-312
2004	16 951	93 677	14 149	55 617	-169	-1 415	-24 457	-324
2005	16 533	95 306	12 939	60 164	-159	-1 606	-28 092	-324
2006	16 768	93 471	13 386	63 390	-152	-1 706	-26 457	-302
2007	16 353	95 883	11 866	60 565	-149	-2 017	-29 706	-56
2008	16 250	89 646	12 025	62 954	-166	-2 145	-27 504	-172
2009	12 228	82 516	11 631	56 716	-191	-2 300	-24 783	-102
2010	14 000	85 607	11 284	61 715	-213	-1 751	-28 340	-115
2011	14 917	78 704	11 104	57 632	-191	-1 426	-26 066	-102
2012	15 398	75 693	9 728	55 467	-211	-2 181	-28 198	-114
2013	13 193	66 449	11 515	50 750	-170	-1 447	-23 436	-187
2014	13 126	59 862	11 400	45 665	-237	-1 283	-19 899	-194
2015	12 580	68 817	11 908	50 177	-262	-1 275	-27 023	-181
2016	10 964	67 278	14 493	53 468	-259	-1 804	-28 088	-174
2017	9 594	70 237	14 724	57 044	-234	-1 650	-30 487	-223
