years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	76 495	206 890	54 155	44 492	-1 984		-5 316	
1992	74 061	221 970	51 773	45 687	-2 204		-6 072	
1993	74 642	222 936	47 056	46 974	-2 492		-7 506	
1994	79 853	238 206	50 132	49 667	-2 342		-7 786	
1995	83 083	231 220	54 261	51 207	-2 481		-9 045	
1996	84 667	229 567	57 629	54 437	-2 045		-8 020	
1997	88 724	232 590	49 649	56 663	-1 939		-9 014	
1998	83 595	220 888	48 314	57 986	-2 280		-6 851	
1999	88 562	215 914	53 714	61 068	-1 982		-5 282	
2000	97 454	221 246	53 229	63 465	-1 867		-4 467	
2001	99 458	208 261	48 891	63 773	-1 730		-4 868	
2002	104 068	209 843	51 888	64 472	-2 345		-3 859	
2003	107 287	212 341	51 426	68 594	-1 874		-4 017	
2004	116 789	209 042	51 330	67 978	-1 465		-4 677	
2005	111 376	215 617	51 059	67 861	-1 179		-8 988	
2006	112 214	206 127	48 677	74 169	-1 397		-10 096	
2007	117 037	208 848	44 968	80 015	-991		-14 592	
2008	114 763	201 575	42 671	79 817	-669		-19 662	
2009	101 500	182 149	40 976	77 724	-749		-17 358	
2010	115 222	184 545	44 971	82 653	-472		-17 458	
2011	108 077	180 728	49 677	97 408	-703		-13 929	
2012	113 100	181 629	52 475	101 702	-1 044		-13 046	
2013	122 608	179 658	47 085	102 708	-853		-16 991	
2014	117 385	167 048	45 886	104 281	-354		-15 841	
2015	118 882	166 453	44 522	97 838	-551		-18 460	
2016	116 458	163 611	40 718	99 216	-719		-18 492	
2017	116 508	158 758	44 688	98 214	-862		-17 658	
