years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	19 143	55 257	13 865	3 227			-9 946	
1992	19 384	70 488	16 725	4 008		-13 161		
1993	23 423	77 571	20 339	5 211			-14 648	
1994	25 557	81 301	23 203	6 936		-114	-12 233	
1995	28 151	89 240	24 835	8 261		-25	-15 723	
1996	28 378	102 185	26 881	11 226		-217	-21 173	
1997	31 746	123 698	22 326	13 606		-207	-31 018	
1998	32 524	116 020	20 489	12 402		-36	-39 808	
1999	32 638	122 974	22 001	15 224		-38	-39 882	
2000	39 137	125 809	24 629	17 071	-99	-40 840		
2001	39 834	121 319	24 784	18 912		-103	-40 084	
2002	19 384	70 488	16 725	4 008			-13 161	
2003	23 423	77 571	20 339	5 211			-14 648	
2004	50 276	116 531	22 863	25 919		-12	-32 198	
2005	46 929	117 338	20 897	26 111		-3	-35 737	
2006	50 407	122 758	22 346	29 549		-2	-39 129	
2007	54 503	120 850	24 365	29 915		-27	-39 317	
2008	61 507	118 857	26 340	33 346		-243	-44 711	
2009	62 923	117 637	31 641	30 211		-325	-44 004	
2010	72 949	121 571	33 028	39 290		-481	-45 314	
2011	79 484	127 916	32 961	41 902		-584	-54 303	
2012	76 079	131 070	37 436	42 853		-356	-58 463	
2013	77 378	125 523	40 424	47 666		-286	-56 579	
2014	79 523	128 438	39 907	44 015		-143	-58 883	
2015	81 129	142 111	37 602	38 944		-346	-62 428	
2016	81 366	149 275	40 535	39 608		-522	-63 752	
2017	81 668	152 837	38 037	43 626		-368	-66 456	
