years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	75	263	6 371	1 397	-20	-76 555	-4 152	
1992	561	181	7 677	2 176		-76 157	-4 978	
1993	562	291	7 934	852	-3	-75 032	-6 466	-40
1994	603	393	8 678	1 055	-1	-72 332	-4 603	-168
1995	875	244	6 093	1 458	-1	-72 394	-5 279	-188
1996	934	170	7 931	708	-8	-81 595	-3 717	-318
1997	1 226	406	13 479	921	-1	-92 385	-4 032	-323
1998	1 242	590	15 053	1 305	-2	-90 350	-4 777	-286
1999	1 685	482	16 856	1 454	-39	-84 743	-5 250	-1 200
2000	1 991	370	20 845	2 408	-4	-93 388	-4 431	-207
2001	2 450	317	18 082	3 196	-5	-93 956	-4 326	-209
2002	3 934	400	16 092	6 258	-2	-99 132	-5 293	-38
2003	4 899	280	13 707	8 466	-1	-109 914	-4 713	
2004	2 965	318	14 773	9 588	-2	-111 950	-4 072	
2005	4 857	333	18 813	7 684	-4	-105 790	-5 139	-211
2006	5 025	405	21 301	8 697	-4	-103 446	-6 233	-289
2007	3 591	471	24 165	9 349	-7	-93 568	-5 827	-1 227
2008	3 126	445	26 835	10 769	-64	-80 992	-6 820	-1 038
2009	3 882	412	24 296	11 120	-21	-70 559	-10 150	-707
2010	5 192	324	29 792	12 642	-76	-77 691	-9 667	-787
2011	4 881	306	32 584	14 514	-167	-76 142	-9 014	-69
2012	4 502	374	32 388	18 896	-151	-71 307	-7 388	-7
2013	5 007	411	28 777	21 990	-3	-67 271	-9 042	-30
2014	5 094	385	30 101	23 628	-2	-64 097	-9 955	-39
2015	5 288	401	34 668	30 175	-2	-62 281	-9 728	-25
2016	5 637	511	42 559	35 554	-1	-65 726	-9 334	-22
2017	6 874	623	50 692	35 705	-69	-65 061	-7 919	-14
