years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	8 261	53 812	36 974	1 751	-768	-1 455	-55 422	-29 034
1992	8 316	57 340	31 815	2 116	-827	-1 228	-52 513	-30 739
1993	8 062	57 306	33 178	2 639	-653	-1 161	-54 581	-31 473
1994	8 903	57 785	30 961	2 632	-698	-1 944	-51 313	-29 137
1995	9 779	61 598	28 710	2 761	-780	-2 041	-54 033	-29 130
1996	9 223	62 925	30 846	4 079	-658	-1 502	-54 839	-34 967
1997	9 381	62 206	35 891	5 173	-741	-1 020	-58 220	-30 417
1998	9 464	63 377	33 929	5 164	-817	-689	-57 444	-27 849
1999	7 857	60 284	35 916	7 751	593	-736	-56 870	-27 291
2000	8 125	61 334	43 110	12 475	-401	-621	-61 130	-29 662
2001	8 875	61 995	44 443	15 322	-572	-759	-62 920	-35 492
2002	8 792	56 330	49 262	19 172	-502	-1 182	-62 342	-37 621
2003	8 910	59 188	48 019	18 255	-419	-1 706	-61 622	-34 456
2004	8 823	61 897	55 717	13 502	-261	-1 401	-69 530	-38 359
2005	8 462	63 140	61 815	16 437	-266	-1 327	-75 582	-37 377
2006	8 313	61 547	69 058	18 040	-533	-1 015	-80 262	-39 168
2007	8 888	60 064	65 473	18 699	-424	-1 598	-75 960	-39 892
2008	8 152	59 818	70 251	18 960	-244	-1 404	-80 293	-44 227
2009	7 420	59 632	77 204	18 394	-115	-1 247	-89 963	-39 851
2010	7 756	61 888	83 948	18 451	-111	-1 435	-100 040	-42 660
2011	7 549	58 842	84 324	17 185	-42	-955	-98 948	-41 065
2012	8 144	59 287	88 866	20 096	-79	-899	-102 394	-45 536
2013	8 152	56 307	88 222	21 809	-221	-835	-101 721	-50 829
2014	9 677	55 963	85 444	22 325	-437	-1 120	-100 858	-44 108
2015	10 705	60 891	94 720	29 236	-170	-597	-112 270	-39 731
2016	10 227	62 339	93 658	33 063	-126	-769	-114 023	-42 913
2017	9 414	61 658	91 068	38 801	-191	-878	-112 309	-40 165
