years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	1	3 379	504		-433	-1 081	-464	
1992	1	3 289	525		-548	-973	-277	
1993		3 682	509		-561	-1 146	-449	
1994		4 303	645		-743	-1 234	-197	
1995		4 167	940		-969	-1 053	-31	
1996		4 216	1 251		-1 155	-1 357	-145	
1997		4 340	1 287		-883	-1 857	-236	
1998		5 232	953		-782	-1 760	-228	
1999		4 663	1 455		-1 046	-1 460	-213	
2000	11	4 724	1 208		-1 116	-1 263	-211	
2001	20	4 679	1 327		-1 231	-1 316	-152	
2002	51	5 002	1 374		-1 385	-1 128	-226	
2003	230	5 209	1 561		-1 576	-929	-99	
2004	455	4 825	2 202		-1 364	-742	-98	
2005	562	4 829	2 013		-1 667	-636	-183	
2006	638	4 780	2 093		-1 934	-680	-95	
2007	383	4 698	2 486		-1 445	-1 664	-123	
2008	314	4 967	2 305		-1 781	-2 653	-210	
2009	356	4 895	2 269		-1 478	-2 370	-210	
2010	133	5 233	1 832		-1 708	-2 453	-133	
2011	91	5 370	1 955		-1 536	-2 144	-301	
2012	1	5 618	1 858		-1 582	-1 838	-309	
2013	266	5 481	2 168		-1 503	-1 527	-280	
2014	236	5 263	2 329		-1 246	-1 750	-278	
2015	220	5 446	2 181		-977	-1 804	-196	
2016	230	5 574	2 634		-859	-1 574	-221	
2017	235	5 489	2 579		-833	-1 400	-244	
