years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	42	11 587	2 614	5 710	-17 132		-1 368	
1992	96	13 131	1 605	5 333	-17 334		-899	-2
1993	97	13 893	1 808	4 683	-16 602		-1 007	-13
1994	709	13 351	2 001	5 000	-19 842		-895	-20
1995	1 079	14 005	2 331	5 836	-22 289		-904	-25
1996	1 399	15 205	3 650	6 332	-19 496	-1	-1 174	-33
1997	2 288	15 337	4 701	6 615	-20 585		-1 435	-32
1998	2 908	15 973	4 411	6 487	-19 776		-1 537	-33
1999	1 621	16 906	3 961	6 256	-17 228		-1 809	-33
2000	1 019	18 529	3 215	6 641	-17 328	-131	-1 786	-34
2001	1 263	18 186	3 649	7 212	-17 563	-447	-2 290	-34
2002	1 779	18 357	4 181	6 715	-17 381	-504	-2 344	-35
2003	1 611	17 930	4 455	7 537	-16 327	-163	-2 007	-38
2004	1 645	17 951	5 547	8 157	-16 612	-140	-2 267	-38
2005	2 153	18 548	6 314	8 567	-15 143	-207	-2 755	-36
2006	3 360	21 000	6 151	8 937	-15 643	-289	-2 822	-38
2007	3 854	22 301	6 847	8 285	-12 373	-292	-3 079	-36
2008	6 495	22 109	5 853	9 156	-10 069	-252	-3 017	-32
2009	6 535	21 791	5 643	8 157	-9 179	-228	-2 498	-33
2010	8 268	23 691	5 500	8 912	-11 009	-214	-3 305	-38
2011	8 852	24 727	5 517	9 663	-9 398	-296	-4 516	-24
2012	6 121	25 204	4 952	10 043	-9 356	-214	-5 716	-3
2013	6 450	23 820	4 569	10 269	-11 860	-409	-6 524	-77
2014	6 422	24 222	5 014	9 709	-10 643	-428	-7 052	-62
2015	5 060	27 025	5 522	9 992	-10 592	-257	-8 198	-45
2016	5 039	25 133	7 518	12 185	-10 837	-227	-7 078	-716
2017	7 882	25 700	9 410	13 027	-9 353	-213	-5 142	-1 015
