years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	2 740	9 969	4 380		-19		-2 219	
1992	2 867	11 316	5 072		-27		-3 228	
1993	3 064	11 146	4 544		-13		-3 220	
1994	3 228	13 391	3 557		-8		-4 600	
1995	3 861	13 744	4 308		-50		-3 774	
1996	3 389	12 365	3 568		-32		-2 435	
1997	3 732	13 750	3 175	99	-44		-2 380	
1998	3 193	14 157	3 907	697	-53		-1 945	
1999	3 791	14 108	4 197	1 953	-54		-1 412	
2000	3 968	12 408	5 041	2 039	-54		-1 424	
2001	2 967	13 448	4 691	2 252			-1 379	
2002	3 473	12 124	5 510	2 727			-1 385	
2003	3 272	13 569	4 466	2 643			-1 697	
2004	3 211	13 468	4 244	3 305			-2 009	
2005	3 225	13 757	5 459	3 893			-2 385	
2006	3 493	14 974	3 114	3 662			-3 410	
2007	2 902	13 487	3 479	3 761			-2 536	
2008	2 302	13 425	3 705	4 144			-2 551	
2009	3 054	11 564	3 901	4 266			-2 327	
2010	1 629	11 962	3 424	4 505			-2 856	
2011	2 148	11 178	3 866	4 533			-2 855	
2012	3 032	11 727	2 818	3 922			-3 720	
2013	2 529	13 944	2 263	3 813			-5 561	
2014	2 597	12 525	2 777	3 475		-165	-4 596	
2015	3 209	15 568	2 527	4 065		-152	-6 723	
2016	2 912	15 094	2 667	4 261		-167	-6 589	
2017	3 408	15 767	2 616	5 438		-170	-6 835	
