years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	17	45 926	18 110		-5	-1	-37 465	
1992	20	47 262	22 082	401	-2	-22	-40 414	
1993	23	53 679	22 256	1 191	-3		-43 402	
1994	25	56 958	24 856	1 241	-67	-47 315		
1995	25	52 533	27 062	1 266	-13	-6	-48 478	
1996	10	56 582	29 887	1 253	-9	-64	-51 836	
1997	7	56 617	32 572	1 250	-6	-15	-48 182	
1998	2	53 054	32 858	1 430	-2	-1	-48 087	
1999		45 323	39 608	1 139			-46 528	
2000		42 668	38 745	1 119			-41 699	
2001		41 633	42 544	1 777		-6	-41 514	
2002	7	41 473	44 428	2 881			-44 869	
2003	9	47 585	44 986	4 395		-1	-48 486	
2004	11	56 443	50 359	5 259		-1	-53 695	
2005	3	59 780	48 392	5 014		-169	-63 373	
2006	5	58 450	56 620	5 407		-195	-66 236	
2007	8	58 981	62 954	5 791		-96	-71 149	
2008	5	59 001	75 654	5 927		-6	-77 649	
2009	4	48 476	94 878	5 991		-592	-82 065	
2010	7	45 396	102 892	6 493		-479	-87 111	
2011	7	46324	107294	6558		-481	-92 983	
2012	26	51654	96986	7111		-484	-83 327	
2013	267	47 214	102 907	8 006		-566	-83 761	
2014	397	47 480	105 563	8 476		-584	-85 113	
2015	407	49 438	115 188	8 508		-754	-90 469	
2016	426	52 775	123 492	8 712		-751	-97 564	
2017	899	57 954	127 072	8 885		-785	-100 843	
