years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	8 530	53 931	9 881	4 398	-37		-13 411	
1992	9 356	55 934	9 640	4 840	-38		-12 345	
1993	7 549	53 501	9 822	5 091	-58		-12 285	
1994	7 536	55 815	10 464	6 489	-50		-11 187	
1995	8 666	56 723	11 385	7 521	-55		-8 572	
1996	7 686	55 966	10 901	8 315	-64		-8 113	
1997	6 936	57 697	13 195	11 540	-114		-7 882	
1998	8 661	61 818	15 084	12 058	-307		-8 869	
1999	11 637	60 014	16 657	13 903	-261		-6 980	
2000	13 346	59 881	19 077	15 467	-506		-7 461	
2001	11 639	58 923	20 601	15 827	-423		-6 326	
2002	14 807	58 772	22 149	18 929	-428		-6 066	
2003	13 257	59 093	23 391	21 168	-511		-6 897	
2004	14 845	60 582	24 804	24 615	-671		-8 051	
2005	14 833	61 387	26 958	30 248	-415		-8 371	
2006	14 256	62 387	27 214	31 647	-713		-9 916	
2007	14 644	60 118	29 988	31 504	-1 282		-10 666	
2008	12 537	61 658	26 021	35 278	-1 479		-10 240	-41
2009	9 902	56 976	25 450	31 774	-927		-11 071	-893
2010	7 847	57 257	23 737	31 955	-1 116		-11 528	-1 005
2011	9 512	57 480	22 359	30 879	-934		-12 995	-1 476
2012	12 952	63 518	16 175	30 505	-1 380	-2 450	-16 926	-2 432
2013	8 076	64 755	14 088	30 877	-506		-18 027	-5 075
2014	9 520	65 213	15 120	31 655	-831	-3 377	-17 747	-7 152
2015	10 949	68 857	15 680	28 182	-723	-2 715	-20 026	-4 407
2016	8 091	68 437	17 857	28 194	-345	-3 475	-21 057	-3 469
2017	11 152	70 501	19 748	30 126	-237	-4 032	-23 053	-2 507
