years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	2 394	16 854	6 563	616	-31	-504	-8 058	
1992	2 326	17 567	7 088	696	-26	-412	-9 347	
1993	2 409	18 435	7 055	759	-93	-474	-9 606	
1994	2 605	18 313	7 999	754	-34	-3	-9 144	
1995	2 793	18 609	7 218	755	-48	-691	-9 066	
1996	2 542	19 540	7 762	809	-78	-467	-9 334	
1997	2 636	20 624	6 216	799	-26	-425	-9 747	
1998	2 461	20 386	6 568	792	-55	-416	-8 851	
1999	2 319	19 838	5 774	793	-57	-464	-9 328	
2000	2 428	21 053	5 693	776	-22	-590	-10 423	
2001	2 483	20 188	6 431	875	-23	-566	-9 481	
2002	2 396	18 865	6 743	891	-14	-423	-8 953	
2003	2 636	20 652	7 687	888	-44	-244	-9 842	
2004	2 653	21 133	6 973	884	-30	-272	-10 788	
2005	2 579	20 682	7 312	843	-27	-562	-9 967	
2006	2 357	19 912	7 407	882	-22	-573	-10 657	
2007	2 500	18 569	7 543	911	-20	-663	-9 953	
2008	2 299	21 739	7 415	827	-28	-466	-11 933	
2009	1 541	19 594	7 369	1 090	-188	-378	-11 691	
2010	2 569	20 375	7 893	1 466	-23	-852	-11 907	
2011	2 368	19 486	8 051	1 159	-17	-601	-10 982	
2012	1 730	21 282	6 613	1 007	-15	-661	-12 914	
2013	1 845	17 657	6 693	955	-18	-655	-9 365	
2014	2 011	19 281	7 771	794	-21	-985	-11 819	
2015	2 008	20 625	7 729	724	-54	-1 218	-14 090	
2016	2 243	20 349	10 544	818	-19	-1 398	-15 560	
2017	1 978	19 943	9 599	943	-20	-1 137	-16 911	-4
