years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991	13 459	59 201	9 760	5 572	-1 449	-57 246	-19 594	
1992	13 939	60 529	9 149	4 740	-813	-60 036	-20 434	-48
1993	13 057	64 834	8 576	3 755	-974	-66 938	-23 259	-528
1994	10 671	55 833	9 082	2 558	-1 067	-86 759	-22 370	-740
1995	11 327	51 428	8 484	1 506	-847	-88 345	-21 870	-869
1996	12 653	52 546	8 295	1 533	-891	-85 150	-23 941	-1 177
1997	13 857	51 774	8 620	1 088	-1 032	-82 544	-26 997	-1 677
1998	14 651	49 542	11 433	819	-913	-87 981	-24 513	-2 446
1999	13 707	46 427	14 074	995	-758	-95 444	-21 807	-6 534
2000	15 249	56 275	14 353	2 014	-792	-96 578	-20 775	-11 325
2001	22 325	55 430	17 225	2 358	-663	-90 362	-19 138	-10 697
2002	18 762	58 965	15 587	4 681	-672	-90 630	-23 624	-11 665
2003	21 167	56 056	17 169	6 678	-537	-77 915	-23 437	-13 700
2004	23 033	64 681	18 746	10 295	-561	-67 082	-30 694	-8 831
2005	27 759	60 911	22 613	13 416	-495	-56 316	-29 951	-7 443
2006	31 759	61 465	27 287	18 884	-453	-52 222	-29 116	-9 332
2007	27 556	59 287	25 601	26 158	-587	-52 990	-30 142	-9 531
2008	27 836	62 070	24 453	30 751	-592	-50 060	-29 027	-8 589
2009	23 850	56 226	22 480	35 949	-591	-47 008	-25 747	-10 045
2010	16 923	56 815	24 061	46 917	-878	-43 610	-26 371	-13 015
2011	20 362	59 952	23 074	46 236	-705	-34 818	-28 156	-13 715
2012	27 755	62 612	26 640	42 899	-741	-32 093	-30 364	-10 193
2013	31 836	60 594	28 965	41 645	-508	-34 306	-27 358	-7 706
2014	26 870	55 604	29 807	36 911	-382	-32 077	-23 084	-8 972
2015	14 946	52 451	32 766	38 337	-354	-34 983	-23 266	-11 867
2016	6 349	50 497	35 756	40 756	-332	-36 156	-24 753	-8 418
2017	6 160	55 233	33 869	40 182	-367	-39 848	-23 548	-9 284
