years	coal	oil2	oil	gas	exptcoal	exptoil1	exptoil2	exptgas
1991		9 897			-31 916			
1992		11 160			-35 172	-78		
1993		11 631	581		-34 921	-303	-2 961	
1994		13 571	481		-37 078	-196	-3 318	
1995	267	15 906	386		-40 352	-84	-3 295	
1996	315	15 897	1 014		-40 706	-2	-3 408	
1997	315	20 365	332		-43 329		-8 732	
1998	863	18 712	919		-41 356	-656	-3 343	
1999	637	17 730	1 151		-44 465	-1 425	-5 144	
2000	821	19 029	522		-46 867	-172	-5 964	
2001	833	17 092	1 475		-46 343	-178	-7 073	
2002	1 171	17 522	1 578		-46 342	-103	-9 985	
2003	1 174	20 121	795		-47 868		-6 085	
2004	1 244	18 402	1 754	1 122	-45 495	-1	-4 630	
2005	1 376	19 614	2 196	976	-47 804	-5	-6 930	
2006	1 372	17 281	3 799	1 122	-46 013	-472	-4 901	
2007	1 320	21 379	7 790	1 993	-44 837	-2 950	-3 090	
2008	1 780	20 390	7 306	2 255	-38 797	-13	-3 514	
2009	1 463	24 234	6 296	2 067	-34 796	-15	-2 217	
2010	1 561	18 634	6 639	2 615	-45 010	-1	-2 260	-1
2011	1 769	20 058	8 157	2 733	-46 037		-2 036	
2012	1 918	18 330	7 457	3 080	-50 870		-2 793	
2013	677	18 057	8 041	3 067	-49 895		-3 559	
2014	631	20 607	7 789	3 075	-46 209		-3 309	
2015	384	17 394	9 630	3 330	-50 730		-4 396	
2016	392	17 493	7 366	3 504	-46 839		-4 093	
2017	428	16 681	9 721	3 526	-47 589		-3 973	
