importer,period,net_coal,net_gas,net_oil
AUS,1991,-78.214,-3.977,2.483
AUS,1992,-82.012,-5.06,3.91
AUS,1993,-85.625,-5.946,7.339
AUS,1994,-85.12,-6.895,8.593
AUS,1995,-88.594,-8.256,7.619
AUS,1996,-91.324,-8.849,10.03
AUS,1997,-101.54,-8.626,8.145
AUS,1998,-108.067,-8.946,5.411
AUS,1999,-111.701,-9.144,10.99
AUS,2000,-121.426,-9.265,3.554
AUS,2001,-125.009,-8.806,0.028
AUS,2002,-132.536,-8.887,1.866
AUS,2003,-135.54,-9.152,5.909
AUS,2004,-142.302,-9.254,9.737
AUS,2005,-150.99,-12.383,14.61
AUS,2006,-150.78,-14.067,17.545
AUS,2007,-158.859,-16.76,15.141
AUS,2008,-163.964,-15.995,19.315
AUS,2009,-169.048,-18.02,19.02
AUS,2010,-190.391,-20.892,20.45
AUS,2011,-184.398,-23.337,22.146
AUS,2012,-195.161,-22.062,25.319
AUS,2013,-217.375,-27.524,29.068
AUS,2014,-242.832,-27.223,29.353
AUS,2015,-253.999,-29.363,28.697
AUS,2016,-251.899,-43.394,30.249
AUS,2017,-244.692,-61.431,32.247
AUT,1991,3.335,4.398,10.099
AUT,1992,3.172,4.391,10.077
AUT,1993,2.677,4.626,9.911
AUT,1994,2.576,4.281,10.201
AUT,1995,2.631,5.458,10.238
AUT,1996,3.074,5.651,11.343
AUT,1997,3.163,5.181,11.183
AUT,1998,3.039,5.333,12.27
AUT,1999,2.746,5.242,11.342
AUT,2000,3.021,5.306,10.964
AUT,2001,3.333,5.037,11.692
AUT,2002,3.495,5.019,12.524
AUT,2003,3.505,6.016,13.257
AUT,2004,3.919,6.137,13.471
AUT,2005,4.032,7.152,13.289
AUT,2006,3.767,6.676,13.748
AUT,2007,3.955,5.897,12.688
AUT,2008,3.831,6.674,12.459
AUT,2009,2.76,6.404,11.575
AUT,2010,3.376,6.115,11.774
AUT,2011,3.124,7.998,11.32
AUT,2012,3.338,6.27,11.074
AUT,2013,3.133,5.252,11.353
AUT,2014,3.064,6.388,10.905
AUT,2015,2.767,4.988,11.293
AUT,2016,2.85,6.106,11.298
AUT,2017,3.075,7.013,11.393
BEL,1991,9.194,8.661,24.727
BEL,1992,8.997,9.138,25.294
BEL,1993,7.488,9.468,24.539
BEL,1994,8.292,9.777,27.211
BEL,1995,9.436,10.418,26.693
BEL,1996,8.085,11.879,29.158
BEL,1997,7.676,11.28,29.625
BEL,1998,8.12,12.432,30.962
BEL,1999,6.944,13.478,28.208
BEL,2000,7.316,13.278,29.563
BEL,2001,7.926,13.134,29.819
BEL,2002,5.534,13.653,29.427
BEL,2003,5.869,14.243,32.4
BEL,2004,5.959,14.559,32.303
BEL,2005,5.243,14.817,32.532
BEL,2006,4.753,15.03,32.019
BEL,2007,4.259,14.9,31.146
BEL,2008,4.851,14.898,34.544
BEL,2009,2.593,14.962,30.303
BEL,2010,3.694,16.791,32.528
BEL,2011,3.535,14.474,29.748
BEL,2012,3.05,14.179,27.545
BEL,2013,3.251,14.56,29.35
BEL,2014,3.387,12.847,28.994
BEL,2015,3.254,13.88,30.357
BEL,2016,2.996,14.38,29.16
BEL,2017,2.94,14.253,29.391
BRA,1991,8.701,0,28.238
BRA,1992,8.373,0,29.037
BRA,1993,8.881,0,33.842
BRA,1994,9.318,0,34.006
BRA,1995,9.805,0,34.438
BRA,1996,10.403,0,40.347
BRA,1997,10.332,0,41.324
BRA,1998,10.266,0,38.399
BRA,1999,9.71,0.343,34.248
BRA,2000,10.329,1.893,28.477
BRA,2001,10.177,3.946,22.985
BRA,2002,10.437,4.598,12.99
BRA,2003,11.123,4.329,6.934
BRA,2004,11.072,6.924,11.414
BRA,2005,10.607,7.705,4.738
BRA,2006,10.22,8.383,0.494
BRA,2007,11.298,8.849,3.647
BRA,2008,11.805,9.718,4.785
BRA,2009,9.076,7.316,-2.265
BRA,2010,12.11,10.83,0.172
BRA,2011,13.644,8.975,3.575
BRA,2012,12.252,11.29,8.262
BRA,2013,13.351,14.525,16.273
BRA,2014,14.671,16.544,9.404
BRA,2015,14.847,15.763,-7.19
BRA,2016,13.672,10.043,-18.885
BRA,2017,15.094,9.18,-24.056
CAN,1991,-15.024,-38.521,-21.233
CAN,1992,-10.673,-45.793,-25.224
CAN,1993,-13.786,-50.825,-26.878
CAN,1994,-15.568,-58.309,-29.054
CAN,1995,-16.647,-64.174,-35.719
CAN,1996,-15.557,-64.619,-37.07
CAN,1997,-15.616,-65.986,-37.093
CAN,1998,-8.035,-72.509,-42.363
CAN,1999,-7.217,-77.307,-36.089
CAN,2000,-4.221,-81.352,-39.038
CAN,2001,-2.146,-85.371,-39.242
CAN,2002,-2.878,-82.799,-48.958
CAN,2003,-4.254,-75.375,-49.183
CAN,2004,-4.411,-77.538,-51.67
CAN,2005,-4.226,-79.569,-43.866
CAN,2006,-4.198,-76.034,-56.744
CAN,2007,-7.741,-78.382,-61.613
CAN,2008,-7.055,-72.163,-60.647
CAN,2009,-9.74,-61.612,-62.879
CAN,2010,-12.212,-60.421,-69.08
CAN,2011,-14.288,-50.891,-81.454
CAN,2012,-14.564,-47.447,-93.122
