importer,period,tot_energy_use
AUS,1991,85.171777
AUS,1992,86.76146501
AUS,1993,90.94153
AUS,1994,90.87818201
AUS,1995,92.69533
AUS,1996,98.76185501
AUS,1997,101.280583
AUS,1998,103.91441
AUS,1999,106.181384
AUS,2000,108.100776
AUS,2001,105.742091
AUS,2002,109.451243
AUS,2003,110.792806
AUS,2004,112.67496
AUS,2005,113.478445
AUS,2006,118.171445
AUS,2007,122.223586
AUS,2008,126.744376
AUS,2009,127.168718
AUS,2010,127.632484
AUS,2011,128.348625
AUS,2012,126.745594
AUS,2013,126.473661
AUS,2014,125.235312
AUS,2015,130.602544
AUS,2016,128.112
AUS,2017,127.033
BRA,1991,142.858191
BRA,1992,144.347671
BRA,1993,147.959977
BRA,1994,155.762923
BRA,1995,161.094731
BRA,1996,169.663097
BRA,1997,178.2761031
BRA,1998,182.552948
BRA,1999,186.690738
BRA,2000,187.4415841
BRA,2001,190.711767
BRA,2002,195.7587111
BRA,2003,198.9765241
BRA,2004,210.04176
BRA,2005,215.3318541
BRA,2006,222.817453
BRA,2007,235.4597539
BRA,2008,248.579623
BRA,2009,240.4536431
BRA,2010,265.877446
BRA,2011,270.0395201
BRA,2012,281.739098
BRA,2013,293.72889
BRA,2014,303.241521
BRA,2015,296.188
BRA,2016,285.346
BRA,2017,290.2393
CHN,1991,847.954316
CHN,1992,876.789813
CHN,1993,928.762413
CHN,1994,972.731498
CHN,1995,1044.40973
CHN,1996,1073.457508
CHN,1997,1072.32566
CHN,1998,1079.686882
CHN,1999,1100.558434
CHN,2000,1135.101836
CHN,2001,1181.308822
CHN,2002,1260.951639
CHN,2003,1440.987496
CHN,2004,1643.595354
CHN,2005,1816.983253
CHN,2006,1986.422995
CHN,2007,2148.377947
CHN,2008,2216.020807
CHN,2009,2367.557407
CHN,2010,2614.842137
CHN,2011,2804.509642
CHN,2012,2910.970303
CHN,2013,3004.912635
CHN,2014,3051.503512
CHN,2015,3006.438
CHN,2016,2986.573
CHN,2017,3077.45
FRA,1991,236.761093
FRA,1992,232.6979
FRA,1993,236.539465
FRA,1994,227.585774
FRA,1995,237.057289
FRA,1996,250.480444
FRA,1997,242.811624
FRA,1998,249.87103
FRA,1999,249.459806
FRA,2000,251.902282
FRA,2001,260.523951
FRA,2002,261.156176
FRA,2003,265.844762
FRA,2004,269.739981
FRA,2005,270.859823
FRA,2006,266.499972
FRA,2007,263.460526
FRA,2008,264.618886
FRA,2009,253.22826
FRA,2010,261.205608
FRA,2011,251.378427
FRA,2012,251.914139
FRA,2013,253.00822
FRA,2014,242.641675
FRA,2015,245.697407
FRA,2016,247.326
FRA,2017,247.086
DEU,1991,344.291087
DEU,1992,337.896418
DEU,1993,334.582992
DEU,1994,332.984965
DEU,1995,336.488164
DEU,1996,347.855687
DEU,1997,344.821459
DEU,1998,342.735266
DEU,1999,334.963519
DEU,2000,336.578876
DEU,2001,346.676392
DEU,2002,338.89584
DEU,2003,337.111118
DEU,2004,339.504069
DEU,2005,337.011574
DEU,2006,346.364531
DEU,2007,327.898289
DEU,2008,331.464567
DEU,2009,310.450789
DEU,2010,326.868884
DEU,2011,310.649432
DEU,2012,311.806742
DEU,2013,317.705745
DEU,2014,306.070275
DEU,2015,311.842674
DEU,2016,310.123
DEU,2017,311.245
IND,1991,318.511419
IND,1992,330.149687
IND,1993,338.052156
IND,1994,351.031903
IND,1995,371.198739
IND,1996,382.559076
IND,1997,397.735837
IND,1998,407.282499
IND,1999,430.755199
IND,2000,440.895863
IND,2001,447.215563
IND,2002,460.582268
IND,2003,471.612985
IND,2004,496.698832
IND,2005,516.1557611
IND,2006,543.277753
IND,2007,573.9744749
IND,2008,602.207489
IND,2009,663.206086
IND,2010,693.238219
IND,2011,722.65946
IND,2012,758.399346
IND,2013,775.926519
IND,2014,824.742957
IND,2015,835.434
IND,2016,852.806
IND,2017,881.945
IDN,1991,103.480082
IDN,1992,107.868753
IDN,1993,118.480891
IDN,1994,118.637738
IDN,1995,130.850393
IDN,1996,135.596568
IDN,1997,140.153538
IDN,1998,137.088829
IDN,1999,143.605131
IDN,2000,155.655861
IDN,2001,159.313288
IDN,2002,165.228377
IDN,2003,165.697592
IDN,2004,176.639247
IDN,2005,179.766618
IDN,2006,183.994546
IDN,2007,183.127782
IDN,2008,186.751076
IDN,2009,201.872331
IDN,2010,212.106902
IDN,2011,204.319562
IDN,2012,211.981672
IDN,2013,217.514809
IDN,2014,225.513194
IDN,2015,224.767
IDN,2016,229.661
IDN,2017,244.066
ITA,1991,150.1645
