,importer,period,GDP,coal_distance,gas_distance,oil_distance,coal_suppliers,gas_suppliers,oil_suppliers,coal_import,gas_import,oil_import,coal_T,gas_T,oil_T
1,AUS,1,6.10E+11,14541.74371,11787.12933,8656.902182,10,4,15,-0.91830889,-0.046693871,0.02915285,0.379689453,0.015638284,0.158829244
2,AUS,2,6.13E+11,14947.87229,11698.056,8620.7617,11,5,15,-0.945258359,-0.058320822,0.04506609,0.902667472,0.005546372,0.18871931
3,AUS,3,6.38E+11,13192.6091,9179.719,8185.9407,14,3,15,-0.941539031,-0.06538267,0.080700204,0.124752893,0.037768947,0.123061426
4,AUS,4,6.63E+11,11645.65658,9179.719,10362.90138,16,2,14,-0.936638455,-0.075870796,0.094555149,0.138014518,0.036801506,0.16362594
5,AUS,5,6.88E+11,13262.20944,8772.572667,10282.09764,13,3,21,-0.955754729,-0.089065976,0.082194,0.080001911,0.010394063,0.16617167
6,AUS,6,7.15E+11,12107.5002,10052.423,10505.39923,14,5,21,-0.92468899,-0.08959937,0.101557428,0.330919717,0.027017694,0.08135848
7,AUS,7,7.44E+11,11900.06155,11470.62267,10387.47127,15,4,18,-1.00256137,-0.085169336,0.080420153,0.392903867,0.029359723,0.178904245
8,AUS,8,7.78E+11,11818.41042,8192.368,8497.988545,17,4,22,-1.039961638,-0.086090081,0.0520717,0.152985545,0.016510088,0.19132055
9,AUS,9,8.17E+11,12920.3342,11594.3195,9746.364571,15,4,24,-1.051982897,-0.08611679,0.103502136,0.524183036,0.027528067,0.180669829
10,AUS,10,8.49E+11,12822.46387,11787.12933,9663.438167,19,5,21,-1.123266682,-0.085707063,0.03287673,0.310671152,0.22182766,0.143719938
11,AUS,11,8.66E+11,11819.48808,13154.222,9655.8435,18,4,21,-1.18220662,-0.083278096,0.000264795,0.258150759,0.116538716,0.074642227
12,AUS,12,9.00E+11,11693.71627,10902.46033,9843.614286,20,8,23,-1.210913612,-0.081195971,0.017048687,0.51531478,0.609742284,0.10986436
13,AUS,13,9.27E+11,11981.0219,11222.01517,8796.150733,18,8,22,-1.223364629,-0.082604641,0.053333788,0.050269176,0.218327005,0.137897978
14,AUS,14,9.65E+11,12193.17267,11539.864,9779.801313,20,9,23,-1.262942538,-0.082130049,0.086416716,0.123760447,0.414836689,0.105042752
15,AUS,15,9.96E+11,11393.31094,11694.82029,8926.753538,20,9,23,-1.330561059,-0.109122045,0.128746918,0.126637745,0.497630495,0.115229853
16,AUS,16,1.02E+12,12109.67783,11744.56243,8150.568,19,9,20,-1.275942763,-0.11903891,0.148470724,0.111609886,0.272346068,0.099413406
17,AUS,17,1.06E+12,10682.73218,12204.787,8581.821727,18,9,20,-1.299740952,-0.137125743,0.123879527,0.127548205,0.606135517,0.104708105
18,AUS,18,1.10E+12,11418.90042,15000.4774,9541.412231,22,8,20,-1.293658979,-0.126198893,0.15239335,0.166521078,0.425194223,0.120495456
19,AUS,19,1.12E+12,12334.5771,13024.0295,10131.276,18,7,24,-1.329320627,-0.141701515,0.149565084,0.261738327,0.300188461,0.1588447
20,AUS,20,1.15E+12,12198.62163,11829.3025,10462.97893,24,7,25,-1.491712721,-0.163688736,0.160225668,0.154590504,0.997692841,0.177837408
21,AUS,21,1.17E+12,11693.45208,13179.956,11670.32232,20,8,27,-1.436696342,-0.181825088,0.172545674,0.457805136,0.997449098,0.120800097
22,AUS,22,1.22E+12,11254.22409,10495.44129,11548.72335,22,10,27,-1.53978528,-0.174065222,0.199762368,0.4726366,0.965955456,0.089223176
23,AUS,23,1.25E+12,11895.02625,12409.6764,12254.38513,20,9,24,-1.718737311,-0.21762634,0.229834416,0.493748663,0.768519114,0.111533909
24,AUS,24,1.28E+12,11792.76821,10289.878,11000.34547,21,5,25,-1.939005829,-0.217374793,0.234382775,0.490104351,0.99635773,0.207523821
25,AUS,25,1.31E+12,11673.53356,9175.131,10423.72162,24,9,20,-1.944824291,-0.224827167,0.219727726,0.608916879,0.994018847,0.152529407
26,AUS,26,1.35E+12,13114.2595,11089.808,9827.919182,20,4,19,-1.966240477,-0.338719246,0.236113713,0.488625907,0.998926255,0.1364502
27,AUT,1,2.69E+11,3205.513508,1238.199,2872.68769,113,30,93,0.125923684,0.166060679,0.381320326,0.169492233,0,0.207027666
28,AUT,2,2.75E+11,2573.659719,1238.199,2593.610167,128,28,103,0.124647596,0.172549683,0.395987966,0.135442879,1,0.142278237
29,AUT,3,2.76E+11,1638.773755,645.67455,2337.118708,114,26,92,0.104005437,0.17972699,0.385057111,0.156614089,0.936661965,0.22800961
30,AUT,4,2.83E+11,1233.738852,989.0160333,1759.384556,107,26,78,0.10035327,0.16677498,0.397400507,0.071987304,0.999998827,0.190241219
31,AUT,5,2.90E+11,2267.764516,767.4132,1581.155253,108,25,85,0.098119144,0.203547811,0.381810642,0.04992224,0,0.194592907
